代码,名称,留档价格,留档涨跌幅(%),评分,推荐,风险等级,买入信号数,卖出信号数,活跃战法数,共振评分,留档时间,现价,现涨跌幅(%),价格变动(%),是否偏差,可靠性,topSignals
sh600487,亨通光电,101.9300,-6.78,2,卖出,高,1,1,4,0,2026-07-02 00:05:22,93.8400,-7.94,-7.94,否,合理,▼MA5下穿MA10  ▼趋势强度强劲
sh603186,华正新材,212.9100,-5.50,3,谨慎卖出,高,0,2,2,4,2026-07-02 00:05:22,196.0000,-7.94,-7.94,否,合理,▼MACD死叉  ▼MA5下穿MA10
sz002384,东山精密,246.3100,-6.11,3,谨慎卖出,高,2,3,2,4,2026-07-02 00:05:22,221.6800,-10.00,-10.00,否,合理,▼MACD死叉  ▼MA5下穿MA10
sz000969,安泰科技,24.2500,-1.18,3,谨慎卖出,中等,1,1,2,4,2026-07-02 00:05:22,24.9900,3.05,3.05,是,偏差,▼MACD死叉  ▼趋势强度强劲
sh600522,中天科技,55.4200,-8.67,4,偏空观望,中等,1,1,6,4,2026-07-02 00:05:22,51.5800,-6.93,-6.93,是,偏差,▲均线多头排列  ▼MACD死叉
sh603256,宏和科技,255.9700,-3.53,4,偏空观望,中等,1,2,6,5,2026-07-02 00:05:22,233.2300,-8.88,-8.88,是,偏差,▲均线多头排列  ▼MACD死叉
sh600226,亨通股份,9.6800,0.94,4,偏空观望,高,0,2,2,4,2026-07-02 00:05:22,9.6300,-0.52,-0.52,否,合理,▼MACD死叉  ▼MA5下穿MA10
sh600596,新安股份,15.2300,-4.57,4,偏空观望,高,2,1,8,2,2026-07-02 00:05:22,14.3000,-6.11,-6.11,是,偏差,▲均线多头排列  ▼MACD死叉
sh600105,永鼎股份,62.4600,-7.44,4,偏空观望,高,2,1,8,8,2026-07-02 00:05:22,56.2100,-10.01,-10.01,是,偏差,▲均线多头排列  ▼阴包阳
sh603688,石英股份,78.8900,-4.50,4,偏空观望,中等,1,1,6,5,2026-07-02 00:05:22,72.0500,-8.67,-8.67,是,偏差,▲均线多头排列  ▼MACD死叉
sz000949,新乡化纤,6.5500,3.31,4,偏空观望,高,0,1,0,6,2026-07-02 00:05:22,6.7700,3.36,3.36,否,合理,▼MA5下穿MA10  ▼盘整趋势
sz002064,华峰化学,10.1500,6.95,4,偏空观望,高,2,3,0,2,2026-07-02 00:05:22,10.2300,0.79,0.79,否,合理,▼均线空头排列  ▲MACD底背离
002674,兴业科技,25.6800,-9.99,5,偏多观望,高,3,2,6,7,2026-07-02 00:05:22,28.2500,10.01,10.01,是,偏差,▲均线多头排列  ▼趋势强度强劲
sz002734,利民股份,17.6500,2.80,5,偏多观望,中等,1,1,4,7,2026-07-02 00:05:22,17.4800,-0.96,-0.96,否,合理,▼MA5下穿MA10  ▼盘整趋势
sz000977,浪潮信息,67.2600,-3.91,5,偏多观望,低,0,1,6,8,2026-07-02 00:05:22,63.7900,-5.16,-5.16,是,偏差,▼KDJ死叉
sh600884,杉杉股份,13.5500,0.00,5,偏多观望,中等,1,0,0,1,2026-07-02 00:05:22,13.2100,-2.51,-2.51,否,合理,▲MACD底背离  ▼盘整趋势
sz002539,云图控股,11.4300,0.97,5,偏多观望,高,1,0,0,4,2026-07-02 00:05:22,11.3000,-1.14,-1.14,否,合理,▲WR超卖  ▼盘整趋势
sz000507,珠海港,4.7300,1.07,5,偏多观望,高,0,0,0,5,2026-07-02 00:05:22,4.7400,0.21,0.21,否,合理,▼盘整趋势
sh603261,*ST立航,45.0500,-9.81,5,偏多观望,高,2,0,8,7,2026-07-02 00:05:22,49.5600,10.01,10.01,是,偏差,▲均线多头排列  ▼趋势强度强劲
sh601628,中国人寿,38.7800,9.70,5,偏多观望,高,5,2,4,9,2026-07-02 00:05:22,38.5100,-0.70,-0.70,否,合理,▲阳包阴  ▲KDJ金叉
sz002046,国机精工,70.4500,-4.34,5,偏多观望,中等,2,2,10,8,2026-07-02 00:05:22,72.4000,2.77,2.77,否,合理,▲均线多头排列  ▼KDJ死叉
sz000921,海信家电,26.8600,-1.68,5,偏多观望,中等,2,1,4,2,2026-07-02 00:05:22,26.2400,-2.31,-2.31,否,合理,▲MA5上穿MA10  ▼MA10下穿MA20
sh603893,瑞芯微,183.3000,-2.69,5,偏多观望,中等,0,1,6,7,2026-07-02 00:05:22,177.3500,-3.25,-3.25,否,合理,▼KDJ死叉  ▼盘整趋势
sz002033,丽江股份,8.4000,1.69,5,偏多观望,中等,2,1,2,3,2026-07-02 00:05:22,8.3800,-0.24,-0.24,否,合理,▼均线空头排列  ▲KDJ金叉
sh600064,南京高科,7.2400,1.54,5,偏多观望,中等,3,1,0,1,2026-07-02 00:05:22,7.2700,0.41,0.41,否,合理,▼均线空头排列  ▲阳包阴
sz000922,佳电股份,13.7800,-1.29,5,偏多观望,低,2,1,6,7,2026-07-02 00:05:22,13.5400,-1.74,-1.74,否,合理,▼MACD顶背离  ▲MACD底背离
sh603020,爱普股份,14.0200,0.14,5,偏多观望,高,1,1,4,7,2026-07-02 00:05:22,13.8000,-1.57,-1.57,否,合理,▼MA5下穿MA10  ▼趋势强度强劲
sh603002,宏昌电子,23.7800,-1.61,5,偏多观望,中等,2,0,8,8,2026-07-02 00:05:22,22.7900,-4.16,-4.16,是,偏差,▲均线多头排列  ▼趋势强度强劲
sh603991,领先股份,155.2700,10.00,5,偏多观望,高,4,2,4,9,2026-07-02 00:05:22,151.1000,-2.69,-2.69,否,合理,▲均线多头排列  ▼WR超买
sz001309,德明利,893.2200,-5.27,5,偏多观望,中等,4,4,6,9,2026-07-02 00:05:22,811.0000,-9.20,-9.20,是,偏差,▲均线多头排列  ▼阴包阳
sh603738,泰晶科技,66.0600,10.01,5,偏多观望,高,2,2,8,9,2026-07-02 00:05:22,59.4500,-10.01,-10.01,是,偏差,▲均线多头排列  ▲向上跳空突破
sz002842,翔鹭钨业,45.6100,-5.37,5,偏多观望,高,3,0,8,7,2026-07-02 00:05:22,50.1700,10.00,10.00,是,偏差,▲均线多头排列  ▼趋势强度强劲
sh600228,返利科技,8.3700,-10.00,5,偏多观望,高,3,0,8,7,2026-07-02 00:05:22,7.5300,-10.04,-10.04,是,偏差,▲均线多头排列  ▼趋势强度强劲
sz001287,中电港,30.6800,-1.51,5,偏多观望,中等,2,1,6,8,2026-07-02 00:05:22,28.6100,-6.75,-6.75,是,偏差,▲均线多头排列  ▼KDJ死叉
sh600755,厦门国贸,5.5100,1.66,5,偏多观望,中等,1,0,0,5,2026-07-02 00:05:22,5.5200,0.18,0.18,否,合理,▲MA10上穿MA20  ▼布林带收口蓄势
sz002080,中材科技,88.7000,-1.44,5,偏多观望,中等,3,1,6,8,2026-07-02 00:05:22,82.2200,-7.31,-7.31,是,偏差,▲均线多头排列  ▼MACD顶背离
600228,返利科技,8.3700,-10.00,5,偏多观望,高,3,0,8,7,2026-07-02 00:05:22,7.5300,-10.04,-10.04,是,偏差,▲均线多头排列  ▼趋势强度强劲
sh603590,康辰药业,30.5600,5.34,5,偏多观望,中等,3,2,2,8,2026-07-02 00:05:22,31.1500,1.93,1.93,否,合理,▼均线空头排列  ▲MACD底背离
sh603032,德新科技,26.0500,-3.16,5,偏多观望,中等,2,3,10,7,2026-07-02 00:05:22,25.9400,-0.42,-0.42,否,合理,▲均线多头排列  ▼MACD顶背离
